,0,1
"[1, 0, 3, 2]",1.1111085477224294,1.108812194928762
"[1, 0, 3, 3]",1.1101341941857774,1.1106517897927644
"[1, 1, 3, 1]",1.1111109708483484,1.1111027558329558
"[1, 1, 3, 0]",1.111020026446912,1.1093100222927292
"[1, 0, 3, 1]",1.1111108803619838,1.1111089378354293
"[1, 0, 4, 3]",1.063145846406973,1.0649514813587706
"[1, 0, 5, 3]",0.0,0.0
"[1, 1, 2, 0]",1.0799266903285383,1.0591128627205741
"[1, 1, 1, 0]",0.0,0.0
"[1, 1, 3, 2]",1.1111110631496413,1.110995077351359
"[1, 1, 2, 1]",1.1110835751201462,1.1067425308980807
"[1, 0, 2, 1]",1.0582310740573493,1.108475126243663
"[1, 0, 2, 2]",1.1110925590703329,1.1111102829019897
"[1, 0, 2, 3]",1.1107498150619022,1.111111110754281
"[1, 0, 2, 0]",1.1111042362474501,1.0
"[1, 0, 1, 0]",0.0,0.0
"[1, 0, 4, 2]",1.110735647076406,1.1098466003722347
"[1, 1, 5, 2]",0.0,0.0
"[1, 1, 4, 2]",1.1110167616042563,1.1020588125427528
"[1, 1, 4, 1]",1.110847593086345,1.111110067107933
"[1, 1, 4, 3]",1.0325267146184702,0.8741913911553892
"[1, 0, 1, 1]",0.0,0.0
"[1, 1, 5, 3]",0.0,0.0
"[1, 1, 4, 0]",0.980134580941467,1.1000710841203023
"[1, 1, 3, 3]",1.0475402793650208,0.0
"[1, 0, 4, 1]",1.0205466998014407,0.0
"[1, 0, 3, 0]",1.0156533305868687,0.8573888211920655
"[1, 1, 2, 2]",0.0,1.0354668528358326
"[1, 0, 5, 2]",0.0,0.0
